PROMOTOR-GESTOR;TIPUS VELOCITAT;LATITUD;LONGITUD;PROVINCIA;MUNICIPI;NPLACES ESTACIO
Ajuntament de Balaguer;semiRAPID;41,78955;0,80485;Lleida;Balaguer;2
Ajuntament de Matar;RAPID;41,54943;2,43201;Barcelona;Matar;2
Desconegut;semiRAPID;41,08313;0,95859;Tarragona;Mont-Roig del Camp;2
IBERDROLA SERVICIOS ENERGETICOS, SAU;NORMAL;41,4064;2,2012;Barcelona;Barcelona;9
Endesa;NORMAL;41,402999;2,165666;Barcelona;Barcelona;2
Desconegut;RAPID;42,35894;1,46321;Lleida;La Seu d'Urgell;2
Desconegut;RAPID;40,7949;0,52572;Tarragona;Tortosa;1
SABA;NORMAL;41,387398;2,168515;Barcelona;Barcelona;2
Gintra- Ap.TECNOCAMPUS;NORMAL;41,52777359;2,433324182;Barcelona;Matar;1
Endesa;NORMAL;41,429535;2,158481;Barcelona;Barcelona;2
Desconegut;semiRAPID;41,39619;2,16095;Barcelona;Barcelona;1
Desconegut;RAPID;41,25597;1,77889;Barcelona;Sant Pere de Ribes;2
Ajuntament de Ripoll;semiRAPID i NORMAL;42,20067264;2,190277129;Girona;Ripoll;2
Desconegut;superRAPID;41,85889;2,76771;Girona;Caldes de Malavella;10
Institut Catal d'Energia i Ajuntament de Reus;RAPID;41,15799;1,10527;Tarragona;Reus;2
Ajuntament de Vic;NORMAL;41,926851;2,245734;Barcelona;Vic;2
SABA;NORMAL;41,385239;2,176462;Barcelona;Barcelona;2
B:SM Serveis Municipals;NORMAL;41,394238;2,181891;Barcelona;Barcelona;8
AEB;NORMAL;41,420052;2,181559;Barcelona;Barcelona;2
B:SM Serveis Municipals;NORMAL;41,382126;2,168188;Barcelona;Barcelona;3
Area Metropolitana de Barcelona;RAPID i NORMAL;41,49223;2,1856;Barcelona;Montcada i Reixac;2
Institut Catal d'Energia i Ajuntament d'Amposta;RAPID;40,7124;0,57921;Tarragona;Amposta;2
TESLA;semiRAPID;40,582356;0,555737;Tarragona;Alcanar;1
AEB;NORMAL;41,394226;2,169715;Barcelona;Barcelona;2
TESLA Hotel Ibis;superRAPID;41,66405;0,60536;Lleida;Torrefarrera;6
Institut Catal d'Energia i Ajuntament d'Olot;RAPID;42,16753;2,47319;Girona;Olot;2
Area Metropolitana de Barcelona;RAPID;41,31814;2,07481;Barcelona;EL PRAT DE LLOBREGAT;1
B:SM Serveis Municipals;NORMAL;41,385727;2,14285;Barcelona;Barcelona;1
Desconegut;semiRAPID;41,59329;2,28172;Barcelona;Granollers;1
Parc cientific;NORMAL;41,381573;2,114353;Barcelona;Barcelona;13
Ajuntament de  Granollers;NORMAL;41,60816017;2,287309987;Barcelona;Granollers;3
REGESA;NORMAL;41,429783;2,172896;Barcelona;Barcelona;4
Area Metropolitana de Barcelona;RAPID;41,3532641;2,0897608;Barcelona;CORNELLˠDE LLOBREGAT;1
Desconegut;RAPID;41,1896;1,56745;Tarragona;Calafell;1
HOTEL NH CONSTANZA;NORMAL;41,3893292;2,1660496;Barcelona;Barcelona;1
Desconegut;semiRAPID;41,91431;1,68565;Barcelona;Cardona;2
Hotel Tur de la Torre;NORMAL;41,73874569;1,84120506;Barcelona;Manresa;1
IBIL;RAPID;41,38266518;2,106382996;Barcelona;Barcelona;1
Endesa-Cepsa;FORA DE SERVEI;41,40604;2,201385;Barcelona;Barcelona;1
Cal Pesolet;NORMAL;42,34548673;1,768101454;Lleida;Bellver de Cerdanya;1
TESLA;semiRAPID;41,37035;2,17139;Barcelona;Barcelona;2
Ajuntament de Cabrils;NORMAL;41,526897;2,366464;Barcelona;Cabrils;1
B:SM Serveis Municipals;NORMAL;41,379272;2,169613;Barcelona;Barcelona;4
SABA;NORMAL;41,393417;2,10702;Barcelona;Barcelona;2
Ajuntament Sant Vicen Montalt;NORMAL;41,56712808;2,521523908;Barcelona;Caldes d'Estrach;2
Ajuntament de Vic;NORMAL;41,93394745;2,260239869;Barcelona;Vic;4
Ajuntament d'Alella;NORMAL;41,49187;2,295535;Barcelona;Alella;2
B:SM Serveis Municipals;NORMAL;41,386972;2,197056;Barcelona;Barcelona;9
Desconegut;semiRAPID;42,10443;1,85188;Barcelona;Berga;2
BIMSA;NORMAL;41,395305;2,153849;Barcelona;Barcelona;2
Desconegut;semiRAPID i NORMAL;41,23829;1,75831;Barcelona;Sant Pere de Ribes;2
Ajuntament de la Seu d'Urgell;semiRAPID i NORMAL;42,3556;1,46035;LLeida;La Seu d'Urgell;2
MERCABARNA;RAPID;41,33003;2,11496;Barcelona;Barcelona;1
Desconegut;semiRAPID;41,54412;1,89232;Barcelona;Olesa de Montserrat;1
TESLA;semiRAPID;41,95399;3,12487;Girona;Torrent;1
GAICU;RAPID;41,40477;2,174794;Barcelona;Barcelona;1
B:SM Serveis Municipals;NORMAL;41,390085;2,143525;Barcelona;Barcelona;1
AMERSAM;NORMAL;41,15932;1,102465;Tarragona;Reus;2
Desconegut;semiRAPID i NORMAL;42,30895;3,01289;Barcelona;Peralada;2
GAICU;semiRAPID;41,393005;2,146561;Barcelona;Barcelona;2
SABA;NORMAL;41,389408;2,183425;Barcelona;Barcelona;4
Estabanell y Pahisa;NORMAL;41,60961924;2,28509905;Barcelona;Granollers;1
BIMSA;NORMAL;41,395304;2,153848;Barcelona;Barcelona;2
Mercat de Rub;NORMAL;41,488958;2,0353593;Barcelona;Rub;1
PETREM;RAPID;42,23124;2,95607;Girona;Santa Llogaia d'ˬguema;2
B:SM Serveis Municipals;NORMAL;41,381547;2,170166;Barcelona;Barcelona;9
Institut Catal d'Energia i Ajuntament de Sant Cugat del Valls;RAPID;41,4752;2,0817;Barcelona;Sant Cugat del Valls;2
Endesa;NORMAL;41,423615;2,179456;Barcelona;Barcelona;2
REGESA;NORMAL;41,3639268;2,127766612;Barcelona;L'Hospitalet de Llobregat;2
BIMSA;NORMAL;41,393228;2,145784;Barcelona;Barcelona;2
Ajuntament de  El Masnou;NORMAL;41,4821;2,3229;Barcelona;El Masnou;1
Desconegut;semiRAPID;41,79012;2,78023;Girona;Vidreres;2
Desconegut;NORMAL;41,78624;1,2874;Lleida;Guissona;1
Desconegut;NORMAL;41,56035;2,00633;Barcelona;Terrassa;2
Desconegut;NORMAL;41,40323;2,17113;Barcelona;Barcelona;2
B:SM Serveis Municipals;NORMAL;41,406731;2,133691;Barcelona;Barcelona;4
Institut Catal d'Energia i Ajuntament de Tremp;semiRAPID;42,16805;0,89549;Lleida;Tremp;2
Institut Catal d'Energia i Ajuntament de Figueres;RAPID;42,26886;2,96692;Girona;Figueres;2
Port Aventura;NORMAL;41,087507;1,152312;Tarragona;Salou;2
Desconegut;semiRAPID i NORMAL;41,74441;1,8054;Barcelona;Sant Joan de Vilatorrada;1
Hotel Estela;NORMAL;41,23562031;1,826850541;Barcelona;Sitges;1
Desconegut;;41,88489;2,87476;Girona;Cass de la Selva;1
Institut Catal d'Energia i Ajuntament de Matar;semiRAPID;41,5379;2,45285;Barcelona;Matar;2
Ajuntament de Banyoles;NORMAL;42,119119;2,764798;Girona;Banyoles;1
SABA;NORMAL;41,391895;2,169057;Barcelona;Barcelona;2
IBIL;semiRAPID i NORMAL;41,508264;2,138665;Barcelona;Barber del Valls;2
Institut Catal d'Energia i Ajuntament de Puigcerd;RAPID;42,42681;1,92922;Girona;Puigcerd;2
La Roca Village;semiRAPID i NORMAL;41,61369;2,34549;Barcelona;La Roca del Valls;2
B:SM Serveis Municipals;NORMAL;41,372299;2,153134;Barcelona;Barcelona;6
Endesa;NORMAL;41,389255;2,161321;Barcelona;Barcelona;2
Desconegut;NORMAL;41,56064;2,0059;Barcelona;Terrassa;4
