PROMOTOR-GESTOR;TIPUS VELOCITAT;LATITUD;LONGITUD;PROVINCIA;MUNICIPI;NPLACES ESTACIO
B:SM Serveis Municipals;NORMAL;41,396853;2,126718;Barcelona;Barcelona;6
Ajuntament Cambrils;NORMAL;41,07451;1,0526;Tarragona;Cambrils;2
Endesa;NORMAL;41,387074;2,17142;Barcelona;Barcelona;2
Area Metropolitana de Barcelona;RAPID i NORMAL;41,35382;2,12245;Barcelona;L'Hospitalet de Llobregat;4
B:SM Serveis Municipals;NORMAL;41,411148;2,174359;Barcelona;Barcelona;4
Desconegut;semiRAPID i NORMAL;41,23018;1,74523;Barcelona;Sant Pere de Ribes;2
B:SM Serveis Municipals;NORMAL;41,426834;2,184219;Barcelona;Barcelona;4
Desconegut;semiRAPID i NORMAL;42,35933;1,69682;Lleida;Martinet;2
Bo-Taull resort;NORMAL;42,5157068;0,8565367;Lleida;Bo-Tall;1
BIMSA;NORMAL;41,394502;2,152313;Barcelona;Barcelona;2
B:SM Serveis Municipals;NORMAL;41,403165;2,189422;Barcelona;Barcelona;5
B:SM Serveis Municipals;NORMAL;41,40247;2,204062;Barcelona;Barcelona;4
Endesa;NORMAL;41,388088;2,107004;Barcelona;Barcelona;2
Aparcament Sofia;NORMAL;41,234074;1,80405;Barcelona;Sitges;2
B:SM Serveis Municipals;NORMAL;41,389954;2,128284;Barcelona;Barcelona;4
NIKE;semiRAPID i NORMAL;41,61451;2,34642;Barcelona;La Roca del Valls;2
PETREM;RAPID;42,26668;2,97318;Girona;Figueres;2
B:SM Serveis Municipals;NORMAL;41,380864;2,183077;Barcelona;Barcelona;5
B:SM Serveis Municipals;NORMAL;41,379936;2,189115;Barcelona;Barcelona;1
TABASA;NORMAL;41,4812;2,0726;Barcelona;Sant Cugat del Valles;1
TESLA;semiRAPID;41,349032;1,66672;Barcelona;Pachs del Peneds;2
Area Metropolitana de Barcelona;RAPID i NORMAL;41,45496;2,22666;Barcelona;Badalona;4
CC Anec Blau;NORMAL;41,283698;1,98725;Barcelona;Castelldefels;1
B:SM Serveis Municipals;NORMAL;41,4053;2,1429;Barcelona;Barcelona;2
CC Sant Cugat;semiRAPID i NORMAL;41,4831;2,05401;Barcelona;Sant Cugat del Valls;4
Aparcament Cal Llobet-Selba;NORMAL;41,78188555;1,836778075;Barcelona;Santpedor;1
Gintra-Ap Plaa de Cuba;NORMAL;41,53730243;2,440399469;Barcelona;Matar;1
GAICU;semiRAPID i NORMAL;41,433956;2,192101;Barcelona;Barcelona;2
Desconegut;semiRAPID;41,60831;0,63275;Lleida;Lleida;2
Institut Catal d'Energia i Ajuntament de Montblanc;RAPID;41,37739;1,16358;Tarragona;Montblanc;4
IBIL;RAPID;41,52801;1,8809321;Barcelona;Esparreguera;1
Abertis-saba;NORMAL;41,340265;2,125109;Barcelona;Barcelona;2
GRAMEPARK;NORMAL;41,451025;2,209483;Barcelona;Santa Coloma de Gramenet;9
GAICU;semiRAPID;41,375444;2,189039;Barcelona;Barcelona;2
B:SM Serveis Municipals;NORMAL;41,391087;2,147544;Barcelona;Barcelona;1
Desconegut;semiRAPID;41,74978;1,90322;Barcelona;Navarcles;1
REGESA;NORMAL;41,420441;2,180899;Barcelona;Barcelona;4
ALBET i NOYA vinyes;semiRAPID i NORMAL;41,384744;1,806303;Barcelona;Subirats;2
CEPSA;RAPID i semiRAPID;41,08598;1,03674;Tarragona;Cambrils;2
BIMSA;NORMAL;41,393659;2,148857;Barcelona;Barcelona;2
Ajuntament de  El Masnou;FORA DE SERVEI;41,47799044;2,304726294;Barcelona;El Masnou;1
TESLA;semiRAPID;41,186289;1,159963;Tarragona;La Selva del Camp;2
B:SM Serveis Municipals;NORMAL;41,39846;2,186665;Barcelona;Barcelona;6
B:SM Serveis Municipals;NORMAL;41,392246;2,128751;Barcelona;Barcelona;6
Restaurant Sol i vi;semiRAPID i NORMAL;41,40167;1,75702;Barcelona;Subirats;2
Desconegut;semiRAPID;41,5858;2,17639;Barcelona;Palau de Plegamans i Solit;2
Aparcament Abart;NORMAL;41,396271;2,149651;Barcelona;Barcelona;1
B:SM Serveis Municipals;NORMAL;41,42077;2,151564;Barcelona;Barcelona;4
B:SM Serveis Municipals;NORMAL;41,384087;2,142749;Barcelona;Barcelona;1
Ajuntament Avi;semiRAPID;42,07696;1,82252;Barcelona;˶ia;1
AEB;NORMAL;41,394203;2,123794;Barcelona;Barcelona;2
Ajuntament de Lloret de Mar;semiRAPID i NORMAL;41,698525;2,8477586;Girona;Lloret de Mar;2
Desconegut;semiRAPID;41,75275;1,87231;Barcelona;Sant Fruits de Bages;1
BIMSA;RAPID;41,388226;2,169769;Barcelona;Barcelona;1
Institut Catal d'Energia i Ajuntament de Figueres;RAPID;42,25973;2,9666;Girona;Figueres;2
Bassols energia;NORMAL;42,18294;2,48422;Girona;Olot;2
Valencia 2013;NORMAL;41,3924661;2,163201936;Barcelona;Barcelona;1
Gasolis Rivera;NORMAL;41,62463;2,17126;Barcelona;Caldes de Montbui;2
Institut Catal d'Energia i Ajuntament de Sant Feliu de Guxols;semiRAPID;41,78059;3,0219;Girona;Sant Feliu de Guxols;2
AEB;NORMAL;41,359982;2,133193;Barcelona;Barcelona;2
Institut Catal d'Energia i Ajuntament de Roses;semiRAPID i NORMAL;42,26494;3,17073;Girona;Roses;2
IBIL;RAPID;41,11432;1,15586;Tarragona;Vilaseca;1
CIRCONTROL;semiRAPID i NORMAL;41,560821;1,961738;Barcelona;Viladecavalls;7
Aparcament Europa;NORMAL;41,729438;1,824378;Barcelona;Manresa;2
Desconegut;semiRAPID i NORMAL;40,88558;0,80385;Tarragona;L'Ametlla de Mar;2
El Corte Ingles Tarragona;NORMAL;41,12115944;1,242038612;Tarragona;Tarragona;3
Aparcament Dr.Roig i Ravents;NORMAL;41,4035393;2,130069;Barcelona;Barcelona;1
MOBILITAT-IBERDROLA;NORMAL;41,45916576;2,228849977;Barcelona;Badalona;1
Parking Ninot;NORMAL;41,38975923;2,155176401;Barcelona;Barcelona;2
Endesa;NORMAL;41,380928;2,142103;Barcelona;Barcelona;2
Desconegut;semiRAPID;41,61072;2,23988;Barcelona;Lli d'Amunt;2
Desconegut;superRAPID;42,35895;1,46278;Lleida;La Seu dՕrgell;10
Desconegut;semiRAPID;41,40548;2,19148;Barcelona;Barcelona;14
Desconegut;semiRAPID i NORMAL;41,58935;1,62138;Barcelona;Igualada;2
GAICU;RAPID;41,40263;2,19475;Barcelona;Barcelona;1
Institut Catal d'Energia i Ajuntament de Tortosa;RAPID;40,80762;0,52007;Tarragona;Tortosa;2
GAICU;semiRAPID i NORMAL;41,40562;2,19299;Barcelona;Barcelona;2
Area Metropolitana de Barcelona;RAPID i NORMAL;41,41914;2,00113;Barcelona;Pallej;2
Endesa;NORMAL;41,41162;2,218508;Barcelona;Barcelona;2
InterAparcament;NORMAL;41,378017;2,176001;Barcelona;Barcelona;2
Endesa;NORMAL;41,43491;2,148409;Barcelona;Barcelona;2
Desconegut;RAPID;41,19262;1,60395;Tarragona;Segur de Calafell;1
Desconegut;NORMAL;41,377108;2,119567;Barcelona;Barcelona;2
Desconegut;NORMAL;41,22512;1,5442;Tarragona;El Vendrell;4
TESLA;superRAPID;40,75288;0,60629;Tarragona;L'Aldea;6
TESLA;semiRAPID;41,23474;1,80399;Barcelona;Sitges;2
B:SM Serveis Municipals;NORMAL;41,37212;2,156625;Barcelona;Barcelona;3
Desconegut;semiRAPID;41,34179;1,70083;Barcelona;Vilafranca del Peneds;2
Desconegut;semiRAPID;42,02845;2,88814;Girona;Celr;1
SABA;NORMAL;41,37764;2,13894;Barcelona;Barcelona;2
Aparcament Pavell municipal;NORMAL;41,64082638;2,398894988;Barcelona;Llinars del Valls;1
Desconegut;;41,86187;2,66255;Girona;Santa Coloma de Farners;2
ENGESTUR;NORMAL;41,45469991;2,243362333;Barcelona;Badalona;6
Hotel Don Cndido;NORMAL;41,552551;2,008381;Barcelona;Terrassa;3
B:SM Serveis Municipals;NORMAL;41,4049;2,17729;Barcelona;Barcelona;1
TESLA;semiRAPID;41,6894;2,81794;Girona;Lloret de Mar;1
Desconegut;;41,41297;2,01392;Barcelona;Molins de Rei;4
B:SM Serveis Municipals;NORMAL;41,4033;2,152327;Barcelona;Barcelona;2
Hotel Restaurant SAUSA;NORMAL;42,0951739;2,892667204;Girona;Terradelles;1
